gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,service_count,monthly_to_total_ratio,tenure_bucket,has_support_services,charge_per_service
0,1,0,0,5,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0,59.9,287.85,True,False,False,True,False,False,False,True,False,False,4.0,0.20737406958629043,0,1,11.98
0,0,1,1,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,49.4,232.55,True,False,False,True,False,False,False,False,False,True,2.0,0.21151787625776064,0,1,16.466666666666665
0,0,0,0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,50.95,123.05,True,False,False,True,False,False,False,False,False,True,2.0,0.4107214832728739,0,1,16.983333333333334
1,0,1,1,30,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0,67.6,2000.2,False,False,True,True,False,False,False,False,True,False,6.0,0.033779732160703575,2,1,9.657142857142857
1,0,1,0,36,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,95.4,3474.2,False,False,True,False,True,False,False,False,True,False,4.0,0.02745165745856354,2,0,19.080000000000002
0,0,1,1,55,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,69.05,3842.6,True,False,False,False,True,False,False,True,False,False,1.0,0.01796492871266521,3,0,34.525
0,0,0,0,31,1,1.0,0.0,1.0,0.0,0.0,0.0,0,1,84.75,2613.4,False,False,True,False,True,False,False,True,False,False,4.0,0.03241661566707466,2,1,16.95
0,1,1,1,28,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,35.9,973.65,False,True,False,True,False,False,False,False,True,False,1.0,0.0368337351869902,2,0,17.95
1,0,0,0,16,1,,,,,,,2,0,18.95,326.8,True,False,False,False,False,True,False,True,False,False,1,0.05780964002440512,1,0,9.475
1,0,0,0,6,1,,,,,,,0,0,20.15,130.5,True,False,False,False,False,True,True,False,False,False,1,0.1532319391634981,0,0,10.075
1,1,1,0,27,1,1.0,0.0,1.0,0.0,0.0,0.0,1,1,85.9,2220.1,False,False,True,False,True,False,False,False,True,False,4.0,0.03867453063797218,2,1,17.18
1,0,0,0,58,1,,,,,,,2,1,25.3,1474.35,False,False,True,False,False,True,False,True,False,False,2,0.017148473243637104,3,0,8.433333333333334
1,0,1,1,72,1,1.0,1.0,1.0,1.0,0.0,1.0,2,1,104.9,7732.65,False,False,True,False,True,False,False,True,False,False,7.0,0.013564099745915579,3,1,13.1125
0,0,0,0,28,0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,35.75,961.4,False,True,False,True,False,False,False,False,False,True,2.0,0.03714671654197839,2,1,11.916666666666666
1,0,1,1,40,1,0.0,0.0,1.0,0.0,1.0,0.0,1,1,85.05,3355.65,True,False,False,False,True,False,False,False,True,False,3.0,0.025337762352345344,2,0,21.2625
1,0,0,0,1,1,,,,,,,0,0,20.5,20.5,True,False,False,False,False,True,False,False,False,True,1,0.9534883720930233,0,0,10.25
0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,80.0,412.5,True,False,False,False,True,False,False,False,True,False,2.0,0.19347037484885127,0,0,26.666666666666668
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,69.2,69.2,True,False,False,False,True,False,False,False,True,False,1.0,0.9857549857549858,0,0,34.6
0,0,0,1,12,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,105.3,1275.65,False,False,True,False,True,False,False,False,True,False,6.0,0.0824814945364822,0,0,15.042857142857143
1,0,0,0,5,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,96.1,453.4,True,False,False,False,True,False,False,False,True,False,4.0,0.21148767605633803,0,1,19.22
1,0,1,0,71,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,86.1,6045.9,True,False,False,True,False,False,True,False,False,False,7.0,0.014238700821908746,3,1,10.7625
1,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,76.95,228.4,False,False,True,False,True,False,False,False,True,False,2.0,0.3354402789886661,0,0,25.650000000000002
0,0,1,0,30,1,,,,,,,0,0,19.65,655.85,True,False,False,False,False,True,True,False,False,False,1,0.029915505823247313,2,0,9.825
0,0,1,0,25,1,,,,,,,1,1,20.2,507.9,True,False,False,False,False,True,True,False,False,False,1,0.03969345647474946,2,0,10.1
1,0,1,1,52,1,,,,,,,2,0,24.55,1331.05,False,False,True,False,False,True,False,False,False,True,2,0.018430239105138697,3,0,8.183333333333334
0,1,0,0,46,1,1.0,1.0,1.0,0.0,1.0,1.0,1,1,110.0,4874.8,False,False,True,False,True,False,False,False,True,False,7.0,0.02256040034455884,2,1,13.75
1,0,0,0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,70.5,597.9,True,False,False,False,True,False,False,False,True,False,1.0,0.11771581232259143,0,0,35.25
0,0,1,0,19,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,86.85,1564.4,False,False,True,False,True,False,False,False,True,False,3.0,0.055481027213491754,1,0,21.7125
0,0,0,0,12,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,49.4,611.65,True,False,False,True,False,False,False,False,True,False,2.0,0.08063331429037787,0,0,16.466666666666665
1,1,1,0,45,1,0.0,1.0,1.0,1.0,1.0,0.0,1,1,98.7,4525.8,False,False,True,False,True,False,True,False,False,False,6.0,0.02180348148802686,2,1,14.1
0,0,1,1,36,1,1.0,0.0,1.0,0.0,1.0,1.0,0,1,104.5,3684.95,False,False,True,False,True,False,False,True,False,False,6.0,0.028350900039338572,2,1,14.928571428571429
1,0,0,0,38,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,95.1,3691.2,False,False,True,False,True,False,False,True,False,False,5.0,0.02575700124586967,2,0,15.85
1,0,1,1,1,1,,,,,,,0,0,19.2,19.2,True,False,False,False,False,True,False,False,False,True,1,0.9504950495049505,0,0,9.6
1,0,1,0,10,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,98.5,1037.75,False,False,True,False,True,False,False,False,True,False,5.0,0.09482551143200962,0,0,16.416666666666668
1,0,1,1,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,44.8,559.2,True,False,False,True,False,False,True,False,False,False,1.0,0.07997143877186717,1,0,22.4
1,0,0,0,18,1,0.0,0.0,1.0,1.0,1.0,1.0,1,1,82.0,1425.45,False,False,True,True,False,False,False,True,False,False,6.0,0.05748536576816572,1,1,11.714285714285714
0,0,1,0,37,0,1.0,0.0,0.0,1.0,1.0,0.0,2,0,45.4,1593.1,False,True,False,True,False,False,False,False,True,False,3.0,0.02848002007402296,2,1,11.35
1,0,0,1,5,1,,,,,,,0,0,20.35,122.0,True,False,False,False,False,True,False,True,False,False,1,0.16544715447154473,0,0,10.175
1,0,0,0,11,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,74.95,815.5,True,False,False,False,True,False,False,False,True,False,2.0,0.09179424372320882,0,0,24.983333333333334
1,0,0,1,64,1,0.0,1.0,0.0,1.0,1.0,1.0,0,1,99.15,6171.2,True,False,False,False,True,False,False,True,False,False,5.0,0.016063964226693886,3,1,16.525000000000002
1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,55.55,55.55,True,False,False,True,False,False,False,False,False,True,2.0,0.982316534040672,0,0,18.516666666666666
1,1,1,0,37,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,92.5,3473.4,False,False,True,False,True,False,False,False,True,False,4.0,0.026623301865070226,2,0,18.5
0,0,1,1,48,1,1.0,1.0,0.0,0.0,1.0,1.0,0,1,105.25,4997.5,False,False,True,False,True,False,False,True,False,False,6.0,0.02105631689506852,2,1,15.035714285714286
1,1,1,0,20,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,94.55,1899.65,False,False,True,False,True,False,False,False,True,False,4.0,0.049746139478599426,1,0,18.91
0,0,0,0,26,1,1.0,1.0,0.0,0.0,1.0,0.0,0,1,69.5,1800.05,False,False,True,True,False,False,True,False,False,False,5.0,0.03858860109380639,2,1,11.583333333333334
0,0,0,0,30,1,,,,,,,2,0,19.4,578.5,True,False,False,False,False,True,False,True,False,False,1,0.03347713546160483,2,0,9.7
0,0,0,0,69,1,1.0,1.0,0.0,1.0,0.0,0.0,2,1,66.9,4577.9,False,False,True,True,False,False,False,False,False,True,5.0,0.014610495970647975,3,1,11.15
1,0,1,1,63,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,89.4,5597.65,False,False,True,True,False,False,False,True,False,False,8.0,0.01596813517544408,3,1,9.933333333333334
1,0,1,0,5,1,,,,,,,0,0,19.35,126.05,True,False,False,False,False,True,False,False,False,True,1,0.15230224321133415,0,0,9.675
1,0,1,0,39,1,,,,,,,2,1,20.45,790.0,True,False,False,False,False,True,True,False,False,False,1,0.025853350189633376,2,0,10.225
1,0,0,1,4,1,0.0,1.0,0.0,0.0,1.0,1.0,0,1,101.7,364.55,False,False,True,False,True,False,False,False,True,False,5.0,0.2782109150594994,0,0,16.95
1,0,1,0,60,1,0.0,0.0,1.0,0.0,1.0,1.0,2,0,101.15,6067.4,False,False,True,False,True,False,False,True,False,False,5.0,0.016668314547491927,3,0,16.858333333333334
1,0,1,1,19,1,0.0,0.0,1.0,1.0,1.0,1.0,0,0,103.3,2012.7,False,False,True,False,True,False,False,False,True,False,6.0,0.05129860455877241,1,1,14.757142857142856
0,0,1,0,11,1,0.0,1.0,0.0,0.0,1.0,1.0,0,1,102.0,1145.35,False,False,True,False,True,False,False,False,True,False,5.0,0.08897806080167489,0,0,17.0
0,1,0,0,31,1,0.0,1.0,0.0,0.0,1.0,1.0,0,1,99.95,3186.65,False,False,True,False,True,False,False,False,True,False,5.0,0.031355387197465216,2,0,16.658333333333335
1,0,0,0,30,1,1.0,1.0,1.0,0.0,0.0,0.0,0,1,84.3,2438.6,True,False,False,False,True,False,False,True,False,False,4.0,0.03455484505656665,2,1,16.86
1,0,0,0,53,1,,,,,,,2,0,24.6,1279.0,False,False,True,False,False,True,False,False,False,True,2,0.01921875,3,0,8.200000000000001
0,0,0,0,5,1,0.0,1.0,0.0,1.0,0.0,1.0,0,1,89.35,461.7,True,False,False,False,True,False,False,False,True,False,4.0,0.1931056840285282,0,1,17.869999999999997
1,1,0,0,51,1,0.0,1.0,0.0,0.0,0.0,0.0,1,1,79.6,3974.7,False,False,True,False,True,False,True,False,False,False,3.0,0.020021631410820737,3,0,19.9
0,0,1,0,71,1,1.0,1.0,1.0,1.0,1.0,1.0,2,0,89.3,6388.65,False,False,True,True,False,False,False,True,False,False,8.0,0.013975726369988967,3,1,9.922222222222222
0,0,0,1,61,1,,,,,,,2,1,25.0,1498.35,False,False,True,False,False,True,False,True,False,False,2,0.01667389201987528,3,0,8.333333333333334
1,1,0,0,8,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,74.5,606.55,True,False,False,False,True,False,False,False,True,False,2.0,0.1226236523742902,0,0,24.833333333333332
1,0,1,0,10,1,1.0,0.0,0.0,1.0,0.0,0.0,0,1,54.95,568.85,True,False,False,True,False,False,False,True,False,False,3.0,0.0964288847942441,0,1,13.7375
0,0,1,0,12,0,0.0,0.0,1.0,0.0,1.0,1.0,0,1,49.85,617.15,False,True,False,True,False,False,True,False,False,False,3.0,0.08064385666909327,0,0,12.4625
1,0,1,0,66,1,0.0,0.0,0.0,1.0,0.0,1.0,0,0,63.85,4264.6,False,False,True,True,False,False,False,False,True,False,4.0,0.014968585896474118,3,1,12.77
1,0,0,0,24,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0,60.45,1440.75,True,False,False,True,False,False,True,False,False,False,4.0,0.041928212242066935,1,1,12.09
0,0,1,1,4,1,0.0,1.0,0.0,1.0,0.0,0.0,0,0,56.5,235.1,True,False,False,True,False,False,False,False,False,True,3.0,0.23930537907666244,0,1,14.125
0,0,0,0,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,88.95,355.2,False,False,True,False,True,False,False,False,True,False,4.0,0.24971925884334645,0,0,17.79
0,0,0,1,35,1,1.0,1.0,0.0,0.0,0.0,0.0,1,0,55.6,2016.45,True,False,False,True,False,False,False,True,False,False,3.0,0.027559542987434633,2,1,13.9
0,1,0,0,45,1,1.0,1.0,0.0,1.0,0.0,0.0,0,1,85.7,3778.1,True,False,False,False,True,False,True,False,False,False,4.0,0.02267735704268212,2,1,17.14
1,0,0,0,65,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1,110.0,7138.65,False,False,True,False,True,False,False,True,False,False,7.0,0.015406917706050018,3,1,13.75
0,0,1,1,14,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,80.9,1152.8,True,False,False,False,True,False,True,False,False,False,2.0,0.0701161379788525,1,0,26.96666666666667
0,0,1,1,61,0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,50.7,3088.75,False,True,False,True,False,False,True,False,False,False,4.0,0.016409094586940693,3,1,10.14
1,0,1,1,68,1,1.0,0.0,1.0,0.0,0.0,0.0,2,0,80.35,5375.15,True,False,False,False,True,False,False,True,False,False,3.0,0.014945639537587306,3,1,20.0875
0,0,1,1,23,1,1.0,1.0,0.0,1.0,0.0,0.0,1,1,57.75,1282.85,True,False,False,True,False,False,False,False,False,True,4.0,0.04498189040775792,1,1,11.55
0,0,0,0,55,1,0.0,1.0,1.0,0.0,0.0,0.0,0,1,81.55,4509.5,True,False,False,False,True,False,False,False,True,False,3.0,0.01808003547278572,3,0,20.3875
1,0,1,1,69,1,,,,,,,2,0,24.45,1718.2,False,False,True,False,False,True,True,False,False,False,2,0.014221731037691948,3,0,8.15
0,0,1,0,7,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0,81.25,580.1,True,False,False,True,False,False,True,False,False,False,6.0,0.13982102908277405,0,1,11.607142857142858
0,0,1,1,72,1,1.0,0.0,0.0,0.0,0.0,0.0,2,0,79.05,5730.7,False,False,True,False,True,False,True,False,False,False,3.0,0.0137917197341103,3,1,19.7625
0,0,1,1,61,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,49.7,2961.4,True,False,False,True,False,False,True,False,False,False,2.0,0.01677693761814745,3,1,16.566666666666666
1,1,1,0,64,1,1.0,0.0,1.0,0.0,0.0,0.0,1,0,80.3,5017.7,True,False,False,False,True,False,False,True,False,False,3.0,0.016000159403829678,3,1,20.075
0,1,1,0,32,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,93.2,2931.0,False,False,True,False,True,False,False,False,True,False,4.0,0.031787175989085946,2,0,18.64
0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,79.55,79.55,False,False,True,False,True,False,False,False,False,True,3.0,0.9875853507138423,0,0,19.8875
1,0,0,0,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0,1,82.3,214.4,True,False,False,False,True,False,False,False,False,True,3.0,0.3820798514391829,0,1,20.575
1,0,0,1,3,1,,,,,,,0,0,20.2,50.6,True,False,False,False,False,True,True,False,False,False,1,0.39147286821705424,0,0,10.1
0,0,1,0,72,1,1.0,0.0,1.0,1.0,1.0,1.0,2,1,84.4,6096.45,False,False,True,True,False,False,False,True,False,False,7.0,0.013841851921704977,3,1,10.55
0,0,0,1,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,29.8,786.5,False,True,False,True,False,False,False,False,False,True,1.0,0.03784126984126984,2,0,14.9
1,0,0,0,39,1,1.0,0.0,1.0,0.0,1.0,1.0,2,1,100.45,3801.7,True,False,False,False,True,False,False,False,True,False,5.0,0.02641544165987325,2,1,16.741666666666667
0,0,0,0,1,1,,,,,,,0,0,19.55,19.55,True,False,False,False,False,True,False,False,False,True,1,0.9513381995133819,0,0,9.775
0,0,0,0,1,1,,,,,,,0,1,19.5,19.5,True,False,False,False,False,True,False,False,False,True,1,0.9512195121951219,0,0,9.75
0,0,1,1,56,1,0.0,0.0,0.0,0.0,1.0,1.0,1,0,88.9,4968.0,True,False,False,False,True,False,True,False,False,False,3.0,0.01789092372710807,3,0,22.225
0,1,1,0,43,1,0.0,0.0,1.0,1.0,1.0,1.0,1,1,107.55,4533.9,False,False,True,False,True,False,False,False,True,False,6.0,0.023716068711548216,2,1,15.364285714285714
0,0,0,1,1,1,,,,,,,0,0,25.4,25.4,False,False,True,False,False,True,False,False,False,True,2,0.9621212121212122,0,0,8.466666666666667
1,0,0,0,29,1,0.0,1.0,1.0,0.0,0.0,1.0,1,0,70.9,1964.6,False,False,True,True,False,False,False,True,False,False,5.0,0.036070411070411076,2,0,11.816666666666668
1,0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,82.0,184.65,False,False,True,False,True,False,False,False,True,False,3.0,0.4416913546997037,0,0,20.5
1,0,0,0,68,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,79.6,5461.45,True,False,False,False,True,False,False,True,False,False,3.0,0.014572215763988686,3,0,19.9
1,0,1,1,67,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,89.55,6373.1,False,False,True,False,True,False,True,False,False,False,4.0,0.014049042217724853,3,0,17.91
0,0,1,1,19,1,,,,,,,2,1,24.9,467.7,False,False,True,False,False,True,True,False,False,False,2,0.05312566673778536,1,0,8.299999999999999
1,0,1,1,66,0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,56.75,3708.4,False,True,False,True,False,False,False,True,False,False,4.0,0.015298970183857227,3,0,11.35
0,0,1,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,29.05,129.6,False,True,False,True,False,False,False,False,True,False,1.0,0.22243491577335378,0,1,14.525
0,0,1,1,9,1,,,,,,,2,0,19.75,210.65,True,False,False,False,False,True,False,False,False,True,1,0.0933144342074179,0,0,9.875
1,1,1,0,53,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,103.85,5485.5,False,False,True,False,True,False,False,False,True,False,6.0,0.01892827850177709,3,0,14.835714285714285
0,0,0,0,23,1,,,,,,,0,1,19.5,470.2,True,False,False,False,False,True,False,False,False,True,1,0.04138370118845501,1,0,9.75
0,0,1,0,50,1,1.0,1.0,0.0,1.0,1.0,1.0,1,0,108.55,5610.7,False,False,True,False,True,False,False,False,True,False,7.0,0.01934351444303865,3,1,13.56875
1,0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,74.95,151.75,True,False,False,False,True,False,False,False,True,False,2.0,0.490671031096563,0,0,24.983333333333334
0,0,1,0,59,1,,,,,,,1,0,20.35,1267.0,True,False,False,False,False,True,False,False,False,True,1,0.016048895899053627,3,0,10.175
1,0,1,1,63,1,1.0,1.0,1.0,0.0,1.0,1.0,2,0,83.5,5435.0,False,False,True,True,False,False,False,True,False,False,7.0,0.01536055923473142,3,1,10.4375
0,0,1,0,25,1,1.0,1.0,0.0,1.0,0.0,1.0,0,1,71.05,1837.7,True,False,False,True,False,False,False,False,False,True,5.0,0.038641431446130414,2,1,11.841666666666667
0,0,0,0,14,1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,80.45,1072.0,False,False,True,False,True,False,False,False,True,False,3.0,0.07497670083876981,1,0,20.1125
1,0,1,0,65,1,1.0,1.0,1.0,0.0,0.0,0.0,1,0,67.05,4309.55,False,False,True,True,False,False,False,True,False,False,5.0,0.015554859588683577,3,1,11.174999999999999
1,1,1,0,69,0,1.0,1.0,0.0,0.0,1.0,1.0,2,0,56.55,3952.65,False,True,False,True,False,False,False,True,False,False,4.0,0.014303238779355784,3,1,11.309999999999999
0,0,1,1,21,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,74.05,1565.7,True,False,False,False,True,False,True,False,False,False,2.0,0.047264951809535966,1,0,24.683333333333334
1,0,1,1,43,1,1.0,0.0,1.0,1.0,0.0,0.0,1,1,91.25,4013.8,False,False,True,False,True,False,False,True,False,False,5.0,0.022728404901863106,2,1,15.208333333333334
1,1,1,0,71,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,92.0,6585.2,False,False,True,False,True,False,False,False,True,False,6.0,0.0139686010142419,3,1,13.142857142857142
1,0,0,1,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,25.35,566.1,False,True,False,True,False,False,False,True,False,False,0.0,0.04470111091518251,1,0,25.35
0,0,0,0,40,1,,,,,,,2,0,19.65,830.25,True,False,False,False,False,True,False,True,False,False,1,0.0236390977443609,2,0,9.825
0,0,0,0,9,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,83.3,803.3,False,False,True,False,True,False,False,False,True,False,3.0,0.10356832027850305,0,0,20.825
1,0,0,0,58,1,0.0,1.0,1.0,0.0,1.0,1.0,1,1,103.25,6017.65,False,False,True,False,True,False,True,False,False,False,6.0,0.017155009844400323,3,0,14.75
0,0,0,0,1,1,,,,,,,0,0,19.9,19.9,True,False,False,False,False,True,True,False,False,False,1,0.9521531100478469,0,0,9.95
1,0,1,1,47,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,113.45,5317.8,False,False,True,False,True,False,True,False,False,False,8.0,0.021329999247950666,2,1,12.605555555555556
0,0,1,0,58,1,1.0,0.0,1.0,1.0,1.0,1.0,2,1,84.3,4916.4,False,False,True,True,False,False,False,False,True,False,7.0,0.01714320575914101,3,1,10.5375
1,0,0,0,40,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,102.65,4108.15,False,False,True,False,True,False,False,False,False,True,6.0,0.024980835452587523,2,0,14.664285714285715
0,0,0,0,41,1,0.0,0.0,1.0,1.0,0.0,1.0,1,1,68.6,2877.05,False,False,True,True,False,False,False,False,True,False,5.0,0.023835583120515622,2,1,11.433333333333332
1,0,1,0,67,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,100.9,6733.15,True,False,False,False,True,False,False,True,False,False,5.0,0.014983331229628092,3,1,16.816666666666666
1,1,0,0,34,1,0.0,1.0,1.0,0.0,1.0,1.0,1,1,99.85,3343.15,True,False,False,False,True,False,False,False,True,False,5.0,0.029858110431649296,2,0,16.641666666666666
1,0,0,0,3,1,,,,,,,0,1,19.1,53.05,True,False,False,False,False,True,False,False,False,True,1,0.3533765032377429,0,0,9.55
0,1,1,0,60,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,116.05,6925.9,False,False,True,False,True,False,True,False,False,False,8.0,0.016753526108360162,3,1,12.894444444444444
0,1,0,0,8,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,92.1,729.95,True,False,False,False,True,False,False,False,True,False,4.0,0.12600041042478966,0,0,18.419999999999998
1,0,1,1,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,74.9,1107.25,False,False,True,False,True,False,True,False,False,False,2.0,0.06758402887435146,1,0,24.96666666666667
1,0,0,0,68,1,1.0,1.0,1.0,0.0,0.0,1.0,2,1,102.1,7149.35,False,False,True,False,True,False,True,False,False,False,6.0,0.014279021306649323,3,1,14.585714285714285
1,1,1,0,71,1,,,,,,,2,0,25.45,1789.65,False,False,True,False,False,True,False,True,False,False,2,0.014212716052829977,3,0,8.483333333333333
0,0,0,0,58,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,79.8,4526.85,False,False,True,False,True,False,True,False,False,False,3.0,0.01762425875415484,3,1,19.95
1,1,0,0,2,1,,,,,,,0,0,19.2,37.2,True,False,False,False,False,True,False,False,True,False,1,0.5026178010471204,0,0,9.6
0,0,1,1,14,1,0.0,1.0,0.0,1.0,0.0,1.0,0,1,89.65,1208.35,True,False,False,False,True,False,False,True,False,False,4.0,0.07413073138462811,1,1,17.93
0,0,1,0,71,1,,,,,,,2,1,20.9,1493.2,True,False,False,False,False,True,True,False,False,False,1,0.013987418016329807,3,0,10.45
1,0,0,0,14,1,0.0,1.0,0.0,0.0,1.0,1.0,0,1,100.55,1415.55,False,False,True,False,True,False,False,False,True,False,5.0,0.07098231619074512,1,0,16.758333333333333
0,0,0,0,6,0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,50.95,307.6,False,True,False,True,False,False,False,True,False,False,4.0,0.16510045366169798,0,1,10.190000000000001
1,0,1,1,15,1,0.0,1.0,1.0,1.0,0.0,1.0,0,1,69.5,1071.4,True,False,False,True,False,False,False,False,False,True,5.0,0.06480790749720253,1,1,11.583333333333334
1,0,1,1,57,1,0.0,1.0,1.0,0.0,1.0,1.0,1,1,97.55,5598.0,True,False,False,False,True,False,False,True,False,False,5.0,0.017422754063225576,3,0,16.258333333333333
0,0,0,0,66,1,1.0,1.0,1.0,0.0,0.0,0.0,2,1,61.15,4017.45,True,False,False,True,False,False,True,False,False,False,4.0,0.015217310156901294,3,1,12.23
1,1,1,0,69,1,0.0,1.0,0.0,0.0,1.0,0.0,0,1,89.95,6143.15,False,False,True,False,True,False,False,False,True,False,4.0,0.014639942058706251,3,0,17.990000000000002
0,0,1,0,68,1,1.0,0.0,0.0,1.0,0.0,0.0,1,0,55.9,3848.8,True,False,False,True,False,False,True,False,False,False,3.0,0.01452023481739311,3,1,13.975
1,1,0,1,56,1,1.0,0.0,0.0,0.0,1.0,1.0,1,0,94.8,5264.3,True,False,False,False,True,False,False,True,False,False,4.0,0.018004672098455927,3,1,18.96
1,1,0,0,35,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,99.05,3395.8,False,False,True,False,True,False,False,False,True,False,5.0,0.02915979745642958,2,0,16.508333333333333
